aX,aY,aZ,gX,gY,gZ
0.01,-0.03,-1.0,0.73,3.78,4.03
0.02,-0.03,-1.01,0.12,2.5,5.07
0.03,-0.04,-1.02,-2.08,0.31,6.29
0.04,-0.05,-1.01,-4.33,-2.32,7.08
0.03,-0.05,-1.02,-6.53,-4.09,6.59
-0.02,-0.03,-1.05,-8.48,-5.19,6.16
0.03,-0.02,-1.03,-11.66,-2.5,7.57
0.01,-0.01,-1.0,-15.01,-1.16,7.39
0.03,0.02,-0.99,-13.61,-1.83,7.32
0.06,0.03,-0.96,-10.74,-1.34,7.51
0.07,0.04,-0.94,-6.77,-0.79,6.71
0.07,0.03,-0.94,-1.89,-0.06,6.47
0.09,0.01,-0.96,3.36,0.73,7.32
0.12,-0.02,-0.99,7.08,0.37,9.03
0.15,-0.04,-1.02,9.22,-1.04,9.89
0.16,-0.06,-1.04,9.4,-2.38,9.46
0.13,-0.07,-1.08,8.54,-4.76,8.42
0.13,-0.05,-1.09,5.43,-5.19,7.87
0.18,-0.04,-1.07,0.85,-4.52,7.57
0.15,-0.03,-1.05,-1.34,-5.43,6.23
0.13,-0.03,-1.04,-1.83,-5.62,4.76
0.11,-0.02,-1.04,-1.53,-4.88,3.48
0.08,-0.02,-1.05,-0.79,-4.15,3.42
0.12,-0.02,-1.05,-0.61,-3.78,5.0
0.13,-0.03,-1.04,-1.77,-3.91,5.62
0.12,-0.02,-1.02,-2.38,-4.15,5.98
0.11,-0.01,-1.02,-1.65,-5.25,6.96
0.1,0.0,-1.02,-0.49,-6.1,8.24
0.1,0.01,-1.01,0.67,-5.92,9.64
0.1,0.01,-1.0,2.5,-5.31,10.13
0.1,0.01,-1.01,6.04,-4.7,9.46
0.09,0.01,-1.02,9.52,-2.87,8.79
0.11,0.01,-1.03,11.96,-0.06,8.24
0.11,0.0,-1.03,13.37,2.56,7.26
0.12,-0.01,-1.05,14.65,4.82,6.96
0.15,-0.03,-1.08,15.2,4.76,7.51
0.18,-0.05,-1.09,13.98,2.99,8.0
0.16,-0.05,-1.12,10.8,-0.06,7.69
0.12,-0.05,-1.15,5.55,-3.85,7.81
0.15,-0.04,-1.08,-1.16,-4.64,9.83
0.15,-0.02,-1.05,-4.88,-8.48,10.19
0.17,0.01,-1.02,-5.37,-11.35,11.6
0.18,0.02,-0.98,-5.31,-10.86,11.23
0.19,0.03,-0.95,-2.5,-8.12,9.95
0.19,0.03,-0.95,3.66,-5.37,8.24
0.18,0.02,-0.98,10.5,-2.08,7.08
0.19,-0.0,-1.01,15.87,1.89,6.23
0.21,-0.02,-1.04,18.92,3.85,5.8
0.21,-0.04,-1.08,19.41,3.78,5.86
0.19,-0.05,-1.11,17.46,3.42,6.96
0.19,-0.05,-1.12,13.06,2.38,8.42
0.22,-0.04,-1.12,7.63,1.34,10.07
0.21,-0.02,-1.11,2.5,-0.61,10.68
0.2,-0.0,-1.09,-1.4,-2.2,11.05
0.2,0.01,-1.07,-3.54,-3.97,11.6
0.18,0.03,-1.06,-3.97,-4.64,11.47
0.17,0.04,-1.05,-2.93,-4.33,11.54
0.19,0.03,-1.04,-2.14,-4.03,12.02
0.18,0.03,-1.04,-1.53,-3.11,11.23
0.18,0.03,-1.04,0.0,-1.71,10.74
0.22,0.02,-1.04,1.53,-0.98,11.23
0.24,0.02,-1.04,2.2,-0.37,10.19
0.24,0.02,-1.02,2.87,1.28,8.97
0.28,0.0,-1.03,4.52,2.56,9.16
0.28,-0.01,-1.03,5.49,3.17,7.93
0.29,-0.02,-1.03,5.92,4.21,5.92
0.31,-0.03,-1.03,6.65,4.52,4.39
0.3,-0.03,-1.04,7.39,4.82,2.32
0.3,-0.03,-1.05,8.12,5.86,-0.18
0.27,-0.03,-1.05,8.61,7.81,-1.71
0.26,-0.02,-1.06,8.73,9.03,-2.08
0.26,-0.02,-1.06,8.54,8.73,-2.32
0.23,0.0,-1.05,7.51,7.14,-2.44
0.2,0.01,-1.05,6.35,5.55,-1.34
0.18,0.02,-1.05,5.13,5.07,0.06
0.2,0.02,-1.05,3.48,6.9,2.01
0.25,0.01,-1.04,2.44,8.48,2.69
0.27,0.01,-1.04,3.23,7.87,1.22
0.28,-0.01,-1.05,4.33,8.61,-1.65
0.22,-0.0,-1.08,5.0,10.44,-5.37
0.19,-0.0,-1.11,4.88,10.8,-7.32
0.17,0.01,-1.11,2.01,9.03,-7.14
0.14,0.04,-1.1,-1.89,5.74,-5.55
0.13,0.05,-1.09,-4.7,2.01,-2.26
0.13,0.05,-1.08,-7.51,-1.46,1.59
0.13,0.05,-1.05,-10.62,-3.97,3.66
0.14,0.06,-1.03,-12.94,-5.07,4.64
0.16,0.06,-1.0,-14.22,-6.1,6.29
0.16,0.04,-0.98,-13.55,-6.35,7.32
0.14,0.01,-0.96,-10.8,-3.54,6.04
0.15,-0.0,-0.94,-6.1,1.83,3.97
0.19,-0.01,-0.93,-0.24,8.42,1.77
0.17,-0.01,-0.96,6.65,13.92,-1.89
0.14,-0.03,-1.02,12.08,17.15,-3.36
0.11,-0.03,-1.05,11.9,18.8,-3.3
0.13,-0.01,-1.04,8.67,18.37,-2.56
0.14,-0.0,-1.03,5.92,15.14,-1.16
0.09,-0.0,-1.04,2.62,9.64,0.92
0.03,0.01,-1.03,-0.73,5.68,3.6
0.03,0.01,-1.02,-2.93,3.42,8.36
0.02,0.0,-1.01,-4.21,2.5,12.45
0.03,-0.01,-1.0,-3.97,4.09,13.67
0.04,-0.02,-1.01,-2.14,6.35,13.67
0.04,-0.03,-1.02,0.06,8.48,12.51
0.03,-0.04,-1.04,1.95,11.78,9.89
0.03,-0.06,-1.05,2.26,15.08,7.81
0.04,-0.05,-1.05,0.98,16.78,5.43
0.03,-0.03,-1.02,-1.1,16.91,3.66
0.02,-0.03,-1.01,-2.81,15.93,3.6
0.0,-0.02,-0.99,-4.21,13.0,3.97
0.0,-0.01,-0.99,-5.37,9.64,5.31
0.02,-0.02,-0.99,-6.1,4.94,7.63
-0.02,-0.02,-0.99,-7.08,-0.37,8.24
-0.06,-0.03,-1.0,-7.57,-3.97,9.09
-0.04,-0.04,-0.99,-8.48,-5.98,11.23
-0.03,-0.04,-0.97,-8.85,-5.19,10.38
-0.04,-0.03,-0.97,-7.32,-0.85,6.84
-0.01,-0.02,-0.96,-4.39,2.87,4.64
0.0,-0.03,-0.97,-1.65,4.03,3.23
0.0,-0.04,-0.99,-0.73,4.7,0.31
-0.01,-0.04,-0.99,-0.67,5.8,-2.5
-0.0,-0.04,-1.0,0.06,5.43,-3.23
-0.01,-0.05,-1.02,0.67,3.48,-3.36
-0.04,-0.06,-1.02,-0.43,1.83,-4.7
-0.07,-0.05,-1.02,-2.38,0.73,-5.37
-0.07,-0.04,-1.0,-4.76,-0.49,-4.46
-0.07,-0.03,-0.97,-5.98,-1.34,-3.42
-0.07,-0.02,-0.96,-5.49,-0.98,-3.23
-0.03,-0.02,-0.96,-3.66,0.06,-2.81
-0.01,-0.03,-0.95,-1.65,0.24,-3.05
-0.01,-0.05,-0.97,1.22,1.28,-5.49
-0.01,-0.07,-1.01,4.21,4.21,-8.79
-0.03,-0.09,-1.07,5.37,7.63,-12.39
-0.04,-0.09,-1.09,2.44,9.03,-14.89
-0.03,-0.09,-1.06,-2.99,7.57,-15.56
-0.05,-0.09,-1.04,-7.08,5.68,-16.91
-0.09,-0.07,-1.03,-9.46,5.31,-18.13
-0.12,-0.05,-1.01,-11.17,4.58,-16.85
-0.1,-0.04,-0.96,-11.9,2.38,-11.47
-0.08,-0.03,-0.92,-10.99,-0.79,-7.02
-0.06,-0.03,-0.93,-7.39,-2.56,-5.62
-0.08,-0.04,-0.97,-2.81,-3.85,-6.16
-0.13,-0.06,-1.03,0.85,-3.66,-7.57
-0.14,-0.07,-1.08,1.95,-2.38,-7.93
-0.13,-0.07,-1.09,0.06,-1.22,-7.2
-0.13,-0.07,-1.08,-1.89,-0.24,-6.29
-0.12,-0.08,-1.08,-2.75,1.16,-5.8
-0.11,-0.07,-1.07,-4.27,2.01,-6.29
-0.12,-0.06,-1.04,-6.71,1.77,-6.35
-0.1,-0.07,-1.0,-7.75,1.04,-4.88
-0.09,-0.07,-0.99,-7.81,0.79,-3.97
-0.07,-0.07,-0.97,-6.65,0.92,-4.15
-0.08,-0.07,-0.96,-4.58,1.46,-4.52
-0.09,-0.08,-0.97,-1.65,2.5,-5.25
-0.1,-0.08,-1.0,1.1,3.42,-5.43
-0.1,-0.09,-1.01,1.89,3.6,-5.62
-0.11,-0.08,-1.03,1.65,2.99,-5.98
-0.13,-0.09,-1.05,0.92,2.56,-5.62
-0.12,-0.08,-1.06,-0.73,2.75,-5.43
-0.1,-0.07,-1.06,-3.23,2.14,-5.55
-0.12,-0.07,-1.05,-5.31,0.61,-5.8
-0.13,-0.07,-1.05,-7.08,-0.85,-5.55
-0.13,-0.06,-1.05,-8.97,-2.62,-4.58
-0.14,-0.06,-1.02,-10.5,-4.33,-3.42
-0.14,-0.06,-1.0,-10.13,-4.94,-2.2
-0.13,-0.06,-1.0,-9.22,-4.09,-1.77
-0.13,-0.06,-1.0,-7.39,-2.32,-1.59
-0.13,-0.06,-0.98,-5.19,-0.12,-1.34
-0.09,-0.07,-0.97,-2.69,2.44,-0.79
-0.08,-0.08,-0.99,-0.12,3.66,-1.34
-0.09,-0.08,-1.0,1.34,3.91,-2.44
-0.11,-0.08,-1.01,1.1,2.87,-2.81
-0.12,-0.08,-1.01,-0.06,1.22,-2.69
-0.13,-0.07,-1.0,-1.34,-0.73,-2.08
-0.14,-0.06,-0.99,-2.14,-2.26,-1.4
-0.13,-0.05,-0.99,-2.01,-2.81,-0.49
-0.14,-0.05,-0.99,-1.22,-3.3,0.06
-0.16,-0.05,-1.0,-0.43,-3.23,0.24
-0.15,-0.05,-1.0,0.24,-2.69,1.04
-0.15,-0.05,-1.01,1.1,-2.26,1.59
-0.15,-0.06,-1.03,1.83,-1.4,1.83
-0.15,-0.06,-1.04,2.2,-0.79,1.89
-0.13,-0.07,-1.04,2.26,0.31,1.83
-0.12,-0.08,-1.04,2.69,1.83,0.79
-0.12,-0.09,-1.04,2.75,3.17,-0.73
-0.11,-0.09,-1.04,2.08,4.15,-1.4
-0.11,-0.1,-1.04,0.92,3.91,-1.65
-0.11,-0.1,-1.03,-0.12,3.42,-1.46
-0.1,-0.1,-1.01,-0.85,2.87,-0.85
-0.09,-0.1,-1.0,-0.85,2.5,0.0
-0.09,-0.1,-1.0,0.31,2.38,0.0
-0.09,-0.1,-0.99,1.46,2.14,0.12
-0.07,-0.11,-0.99,3.05,1.89,1.46
-0.06,-0.11,-1.0,4.27,1.4,1.28
-0.07,-0.12,-1.03,4.94,1.4,0.31
-0.07,-0.12,-1.04,4.7,1.46,-0.18
-0.06,-0.12,-1.04,2.75,0.73,-0.18
-0.06,-0.12,-1.04,0.73,-0.43,-0.43
-0.05,-0.11,-1.04,-1.16,-1.65,-0.49
-0.04,-0.11,-1.04,-2.75,-3.48,-0.06
-0.06,-0.11,-1.05,-5.37,-6.16,0.12
-0.06,-0.11,-1.05,-8.3,-8.67,0.79
-0.05,-0.1,-1.03,-11.11,-10.62,2.08
-0.05,-0.09,-1.0,-12.76,-11.6,2.38
-0.04,-0.08,-0.98,-11.6,-10.01,2.14
-0.04,-0.08,-0.97,-9.22,-7.75,1.71
-0.04,-0.08,-0.97,-5.49,-4.82,0.79
-0.04,-0.09,-0.98,-1.34,-1.22,-0.37
-0.01,-0.1,-0.99,2.08,2.14,-1.1
0.04,-0.12,-1.0,4.64,4.39,-1.71
0.03,-0.14,-1.02,6.29,4.58,-3.17
0.03,-0.15,-1.05,6.1,4.27,-4.58
0.02,-0.15,-1.06,4.03,2.99,-5.07
0.02,-0.15,-1.06,0.85,0.55,-4.52
0.02,-0.14,-1.05,-2.38,-1.95,-3.72
0.02,-0.12,-1.03,-4.64,-3.42,-4.03
-0.0,-0.1,-1.02,-5.07,-3.54,-5.0
-0.02,-0.08,-1.0,-3.97,-1.59,-5.98
-0.04,-0.06,-0.96,-0.98,3.66,-6.96
-0.02,-0.05,-0.98,4.82,9.34,-7.14
-0.01,-0.05,-0.98,8.48,13.12,-8.85
-0.01,-0.05,-0.98,11.35,15.26,-10.38
-0.0,-0.06,-1.0,14.34,16.24,-10.5
-0.01,-0.06,-1.01,15.81,16.05,-10.01
-0.0,-0.07,-1.01,15.69,14.53,-8.61
0.01,-0.07,-1.02,14.59,13.06,-7.69
0.01,-0.07,-1.02,12.82,10.62,-6.41
0.0,-0.07,-1.02,10.74,7.45,-5.68
-0.01,-0.08,-1.03,9.09,5.49,-4.76
0.0,-0.07,-1.03,7.45,3.72,-3.54
-0.0,-0.06,-1.01,5.92,2.14,-2.99
-0.02,-0.05,-0.99,5.07,0.85,-2.99
-0.03,-0.04,-0.98,5.92,1.53,-3.05
-0.04,-0.04,-0.97,7.87,3.05,-2.99
-0.02,-0.03,-0.97,11.17,5.07,-3.17
-0.04,-0.04,-0.98,14.89,8.3,-4.64
-0.05,-0.05,-1.0,17.21,10.19,-5.49
-0.03,-0.06,-1.02,17.88,10.99,-4.76
-0.03,-0.06,-1.03,16.72,9.95,-3.66
-0.04,-0.06,-1.04,14.71,7.26,-3.05
-0.04,-0.06,-1.05,12.45,5.13,-1.95
-0.04,-0.05,-1.05,9.95,3.11,-1.04
-0.05,-0.04,-1.05,8.0,1.65,0.24
-0.05,-0.03,-1.04,6.9,1.4,1.04
-0.05,-0.01,-1.03,6.65,2.32,0.92
-0.05,0.01,-1.0,7.26,5.0,-0.49
-0.06,0.02,-0.97,9.46,10.25,-2.5
-0.05,0.02,-0.97,13.61,15.14,-3.91
-0.04,0.01,-0.98,17.09,16.78,-4.58
-0.04,-0.01,-1.0,18.13,16.17,-4.88
-0.04,-0.02,-1.02,17.82,14.59,-4.21
-0.04,-0.02,-1.03,15.93,11.23,-2.87
-0.05,-0.02,-1.02,12.57,7.57,-1.22
-0.05,-0.01,-1.01,9.83,5.0,0.24
-0.05,0.0,-1.01,9.03,3.6,2.26
-0.03,0.01,-0.99,8.67,3.36,3.97
-0.01,0.01,-0.96,10.01,4.58,4.09
-0.01,0.01,-0.96,13.73,7.02,2.32
-0.01,-0.01,-0.99,17.27,10.13,0.18
-0.0,-0.03,-1.02,18.8,11.54,-0.43
-0.0,-0.05,-1.05,17.58,10.62,0.06
0.01,-0.06,-1.07,14.04,8.24,1.04
0.0,-0.06,-1.07,8.79,4.94,1.89
-0.02,-0.04,-1.04,3.78,1.46,3.36
-0.01,-0.03,-1.03,-0.06,-1.46,5.68
0.02,-0.01,-1.0,-2.2,-3.66,7.39
0.02,0.01,-0.95,-2.01,-4.39,6.84
0.01,0.02,-0.93,1.95,-2.81,5.31
0.02,0.01,-0.96,7.69,0.37,3.78
0.02,-0.01,-0.98,12.57,3.6,1.4
0.02,-0.02,-1.01,15.2,6.9,-0.85
0.03,-0.03,-1.03,16.17,8.85,-1.77
0.03,-0.04,-1.04,15.14,9.46,-2.56
0.02,-0.03,-1.04,13.43,9.83,-3.48
0.01,-0.02,-1.05,11.6,9.58,-3.72
0.01,-0.01,-1.04,9.7,8.54,-3.3
-0.0,-0.0,-1.05,7.63,5.49,-2.38
-0.02,0.0,-1.06,5.13,2.99,-1.16
0.0,0.01,-1.05,2.44,1.95,0.79
-0.0,0.02,-1.02,0.24,0.73,2.08
-0.01,0.03,-0.99,0.18,-0.55,2.08
0.0,0.03,-0.98,2.99,0.92,1.53
0.03,0.02,-0.99,6.53,2.87,0.79
0.02,0.0,-1.0,8.61,3.54,-0.98
0.01,-0.0,-1.01,9.83,4.21,-2.56
-0.01,-0.0,-1.03,10.25,4.52,-3.36
-0.03,-0.0,-1.05,9.22,3.6,-3.17
-0.02,0.0,-1.05,7.57,3.05,-2.69
-0.01,0.0,-1.06,5.68,2.87,-2.14
-0.01,0.01,-1.06,3.78,1.65,-1.83
-0.04,0.02,-1.05,1.1,-0.24,-1.59
-0.05,0.03,-1.03,-0.79,-1.34,-0.55
-0.03,0.04,-1.01,-0.73,-1.28,0.61
-0.02,0.04,-0.99,0.85,-0.37,0.61
-0.02,0.04,-0.99,3.85,1.71,-0.12
-0.02,0.03,-1.0,6.77,4.09,-1.34
-0.02,0.03,-1.01,8.67,5.31,-1.77
-0.04,0.03,-1.04,9.09,4.82,-1.77
-0.04,0.02,-1.06,8.36,4.15,-1.22
-0.03,0.02,-1.05,6.23,4.27,-0.55
-0.05,0.04,-1.05,4.88,2.62,0.06
-0.06,0.04,-1.05,3.78,0.85,2.38
-0.05,0.05,-1.03,2.5,-0.12,4.58
-0.01,0.05,-1.03,2.44,-0.73,5.98
0.0,0.05,-1.03,2.38,-1.65,5.68
-0.01,0.05,-1.0,2.08,-2.26,3.78
-0.02,0.06,-1.01,3.78,-1.22,2.44
-0.03,0.05,-1.01,5.68,0.55,1.65
-0.01,0.04,-1.03,7.45,1.83,2.38
0.0,0.03,-1.05,8.12,2.44,2.26
-0.04,0.02,-1.06,7.02,2.44,1.34
-0.06,0.02,-1.07,5.07,1.89,2.08
-0.06,0.03,-1.07,3.17,1.28,4.15
-0.07,0.04,-1.05,0.73,1.1,5.92
-0.03,0.05,-1.03,-0.37,1.65,7.32
0.01,0.05,-1.02,-0.18,2.01,7.39
-0.01,0.04,-1.01,0.18,1.34,6.1
-0.02,0.03,-1.0,1.16,1.65,4.21
0.0,0.03,-1.01,2.56,2.62,3.42
0.0,0.03,-1.01,3.85,3.72,2.44
-0.01,0.03,-1.01,4.88,4.21,1.16
-0.01,0.03,-1.02,5.92,5.31,0.67
0.0,0.04,-1.03,6.16,5.68,0.92
-0.03,0.04,-1.03,5.55,4.46,0.61
-0.04,0.04,-1.04,4.7,3.42,1.53
-0.02,0.04,-1.05,3.66,2.5,3.05
-0.01,0.05,-1.04,1.59,0.85,3.97
0.0,0.04,-1.03,-0.18,-0.43,4.88
-0.01,0.05,-1.03,-0.43,-0.55,4.64
-0.0,0.05,-1.02,0.06,0.37,3.85
0.03,0.04,-1.03,1.04,1.46,3.48
0.02,0.04,-1.03,1.59,1.53,2.56
0.01,0.03,-1.02,1.89,1.65,1.34
0.02,0.03,-1.03,2.87,2.14,0.73
0.03,0.03,-1.03,3.42,2.44,0.43
0.02,0.03,-1.03,3.36,2.62,0.06
0.01,0.03,-1.03,3.42,2.99,0.0
0.02,0.02,-1.03,3.23,3.05,0.79
0.02,0.02,-1.02,2.56,2.56,1.59
0.01,0.02,-1.02,2.01,2.38,1.95
0.03,0.02,-1.02,2.38,3.05,2.01
0.05,0.02,-1.02,3.3,3.54,1.22
0.07,0.01,-1.02,3.42,3.66,0.24
0.06,0.01,-1.04,3.48,3.78,-1.1
0.04,0.01,-1.05,2.81,3.85,-2.69
0.03,0.02,-1.05,1.95,3.91,-3.3
0.02,0.04,-1.05,1.04,3.36,-3.17
0.02,0.04,-1.05,-0.24,2.5,-3.23
0.02,0.05,-1.04,-1.04,1.89,-3.3
0.0,0.06,-1.04,-1.95,1.4,-3.42
-0.01,0.06,-1.03,-2.62,1.04,-3.23
-0.0,0.07,-1.03,-2.87,1.04,-2.62
-0.0,0.08,-1.03,-2.99,1.71,-2.26
0.0,0.08,-1.01,-3.23,2.26,-2.14
-0.0,0.09,-1.01,-2.81,1.04,-1.77
0.02,0.08,-1.0,-2.38,1.1,-1.71
0.03,0.08,-1.01,-1.1,1.28,-2.5
0.04,0.06,-1.01,0.06,0.98,-3.48
0.04,0.05,-1.0,0.73,0.67,-4.39
0.04,0.04,-1.0,1.53,0.92,-5.43
0.04,0.03,-1.0,1.77,1.71,-6.41
0.05,0.03,-1.0,2.2,2.08,-7.14
0.04,0.02,-1.01,2.56,1.46,-7.45
0.01,0.02,-1.03,2.32,0.61,-7.69
-0.01,0.03,-1.04,1.16,0.18,-7.57
-0.02,0.05,-1.03,-0.67,-0.61,-6.96
-0.04,0.06,-1.03,-2.01,-1.77,-6.16
-0.05,0.07,-1.03,-2.81,-2.56,-5.19
-0.04,0.07,-1.04,-2.93,-2.75,-4.46
-0.02,0.07,-1.04,-2.99,-2.56,-4.15
-0.02,0.06,-1.04,-2.81,-2.62,-4.39
-0.02,0.04,-1.04,-2.56,-2.38,-4.52
-0.01,0.04,-1.05,-1.95,-0.98,-4.76
-0.01,0.02,-1.05,-2.2,0.67,-5.49
-0.01,0.02,-1.05,-3.48,0.98,-5.86
-0.04,0.02,-1.05,-5.68,0.12,-5.8
-0.05,0.02,-1.03,-8.42,-0.67,-5.13
-0.03,0.04,-1.01,-10.25,-1.22,-3.6
-0.03,0.05,-1.0,-11.23,-2.5,-2.56
-0.03,0.05,-0.98,-11.6,-4.27,-1.95
-0.03,0.05,-0.98,-10.25,-5.13,-1.59
-0.02,0.05,-0.99,-7.93,-3.97,-1.65
-0.01,0.04,-1.0,-5.43,-3.05,-2.08
-0.01,0.03,-1.02,-3.97,-3.05,-2.81
-0.03,0.01,-1.03,-3.48,-2.69,-3.54
-0.03,0.01,-1.04,-3.23,-1.16,-4.21
-0.02,0.01,-1.02,-4.03,0.37,-4.64
-0.02,0.02,-1.01,-4.39,0.31,-4.64
-0.02,0.01,-1.01,-3.48,-0.43,-4.33
-0.03,0.01,-1.01,-2.08,-0.79,-4.39
-0.04,0.0,-1.03,-0.06,-0.79,-4.09
-0.06,0.0,-1.05,1.59,-0.73,-3.6
-0.07,0.0,-1.06,1.59,-0.79,-3.48
-0.07,0.0,-1.06,0.43,-0.73,-3.17
-0.07,0.0,-1.06,-0.24,-1.1,-2.69
-0.05,-0.0,-1.06,-0.43,-0.92,-2.5
-0.05,-0.0,-1.06,-0.43,0.55,-2.69
-0.04,-0.01,-1.06,-0.12,2.38,-2.93
-0.03,-0.03,-1.07,0.31,2.81,-2.69
-0.03,-0.04,-1.07,-0.55,2.5,-2.87
-0.03,-0.04,-1.06,-1.95,2.5,-3.11
-0.03,-0.04,-1.06,-3.05,2.2,-3.72
-0.05,-0.03,-1.05,-5.43,1.22,-4.09
-0.05,-0.03,-1.04,-7.75,-0.18,-3.78
-0.06,-0.02,-1.02,-8.91,-0.55,-3.97
-0.07,-0.01,-1.01,-9.58,-0.06,-4.15
-0.05,-0.0,-0.99,-10.07,0.49,-3.48
-0.03,-0.01,-0.97,-9.77,0.61,-3.17
-0.03,-0.01,-0.97,-8.0,1.28,-3.3
-0.04,-0.02,-0.98,-5.8,2.2,-3.97
-0.04,-0.02,-0.98,-4.76,3.17,-4.76
-0.04,-0.02,-0.99,-4.46,3.6,-4.82
-0.05,-0.02,-1.01,-4.64,3.36,-4.88
-0.06,-0.02,-1.01,-5.8,3.17,-4.52
-0.07,-0.01,-1.0,-7.45,2.08,-3.66
-0.07,0.0,-0.98,-9.34,-0.12,-2.87
-0.06,0.01,-0.96,-9.95,-1.28,-2.44
-0.06,0.0,-0.94,-9.16,-0.79,-2.99
-0.06,0.0,-0.94,-7.14,-0.37,-3.66
-0.07,-0.0,-0.94,-4.21,-0.18,-3.97
-0.07,-0.01,-0.96,-1.22,-0.06,-3.66
-0.08,-0.02,-0.98,1.1,0.37,-3.78
-0.08,-0.02,-1.0,2.26,0.85,-3.72
-0.06,-0.02,-1.0,1.83,0.67,-3.42
-0.06,-0.02,-1.02,1.28,-0.43,-3.48
-0.08,-0.02,-1.03,0.43,-1.4,-3.97
-0.09,-0.0,-1.03,-1.34,-1.77,-3.97
-0.09,-0.0,-1.03,-2.62,-1.77,-3.66
-0.09,-0.0,-1.03,-3.3,-2.01,-3.23
-0.11,-0.0,-1.03,-4.39,-2.75,-2.5
-0.1,-0.0,-1.01,-5.74,-2.44,-1.53
-0.08,-0.0,-1.0,-6.41,-2.32,-0.55
-0.08,-0.01,-0.98,-6.1,-2.81,0.43
-0.08,-0.01,-0.96,-5.13,-2.75,0.31
-0.08,-0.01,-0.96,-3.11,-1.71,-0.24
-0.07,-0.02,-0.96,-1.34,-1.16,-0.31
-0.04,-0.02,-0.98,0.06,-1.1,-0.31
-0.06,-0.03,-0.99,0.24,-1.1,-1.59
-0.08,-0.02,-1.0,-0.61,-1.53,-1.77
-0.09,-0.01,-1.0,-2.32,-2.93,-0.79
-0.09,-0.01,-0.99,-4.27,-3.91,0.98
-0.09,-0.0,-0.99,-5.25,-4.64,2.5
-0.09,-0.01,-0.99,-5.13,-4.82,3.78
-0.09,-0.01,-0.99,-5.0,-4.94,4.88
-0.08,-0.01,-0.98,-5.13,-4.94,6.23
-0.06,-0.01,-0.97,-4.39,-5.0,6.53
-0.08,-0.02,-0.97,-2.99,-4.46,5.13
-0.09,-0.02,-0.97,-1.59,-2.87,3.85
-0.08,-0.03,-0.98,-0.06,-1.16,3.6
-0.05,-0.04,-0.99,0.92,-0.49,3.54
-0.06,-0.05,-0.99,0.67,-0.98,2.93
-0.06,-0.05,-1.0,0.18,-1.22,2.38
-0.06,-0.05,-1.0,-0.73,-1.53,2.75
-0.05,-0.05,-0.99,-1.95,-2.56,3.3
-0.05,-0.05,-0.98,-2.75,-3.54,3.6
-0.04,-0.04,-0.98,-2.75,-3.85,3.54
-0.05,-0.04,-0.98,-2.32,-3.11,2.56
-0.07,-0.03,-0.99,-1.83,-3.17,2.26
-0.08,-0.03,-1.0,-1.34,-3.78,2.87
-0.08,-0.03,-1.0,-0.79,-4.03,3.6
-0.07,-0.04,-1.01,-0.98,-4.27,3.91
