aX,aY,aZ,gX,gY,gZ
-0.93,-0.2,0.08,-27.28,81.48,-19.53
-0.93,-0.21,0.08,-17.64,81.54,-14.89
-0.91,-0.24,0.04,-9.16,81.12,-9.77
-0.89,-0.26,0.03,-6.1,80.81,-6.65
-0.88,-0.26,0.03,-7.87,79.77,-5.86
-0.87,-0.29,0.02,-11.29,78.37,-6.23
-0.86,-0.29,0.04,-17.21,78.43,-8.61
-0.88,-0.26,0.09,-24.23,79.35,-12.45
-0.89,-0.25,0.13,-28.75,79.28,-15.08
-0.92,-0.23,0.18,-29.91,78.55,-15.75
-0.93,-0.2,0.23,-27.22,79.22,-14.83
-0.92,-0.2,0.26,-20.2,81.3,-12.15
-0.9,-0.22,0.26,-11.11,83.13,-8.54
-0.89,-0.23,0.27,-2.93,84.05,-5.92
-0.88,-0.24,0.25,3.54,83.8,-4.09
-0.88,-0.27,0.19,7.2,80.75,-2.56
-0.86,-0.28,0.16,4.46,77.33,-1.59
-0.84,-0.28,0.15,-3.42,75.32,-1.71
-0.82,-0.27,0.18,-12.51,73.24,-3.23
-0.84,-0.25,0.2,-18.92,71.9,-5.92
-0.86,-0.24,0.23,-21.42,71.47,-8.06
-0.87,-0.24,0.26,-20.26,73.61,-8.06
-0.86,-0.26,0.28,-16.91,76.11,-6.9
-0.83,-0.27,0.3,-13.92,77.7,-6.35
-0.82,-0.27,0.3,-12.45,77.58,-6.84
-0.8,-0.27,0.3,-12.82,75.81,-8.06
-0.79,-0.27,0.32,-14.83,75.32,-10.44
-0.8,-0.25,0.35,-17.52,75.44,-13.31
-0.82,-0.24,0.36,-20.51,74.52,-15.44
-0.81,-0.24,0.37,-24.05,72.94,-16.05
-0.81,-0.22,0.4,-28.81,71.84,-16.91
-0.84,-0.19,0.44,-32.04,71.17,-18.62
-0.87,-0.15,0.47,-32.35,70.86,-18.62
-0.87,-0.13,0.49,-30.21,70.19,-15.87
-0.85,-0.14,0.5,-26.49,68.85,-11.78
-0.81,-0.15,0.51,-21.67,66.28,-8.3
-0.81,-0.16,0.5,-16.42,63.54,-6.77
-0.81,-0.16,0.5,-11.72,63.11,-7.08
-0.8,-0.17,0.51,-8.18,64.15,-7.81
-0.8,-0.17,0.5,-5.8,63.84,-8.18
-0.8,-0.17,0.5,-5.98,62.81,-8.48
-0.8,-0.16,0.5,-7.51,62.19,-8.79
-0.8,-0.17,0.5,-9.09,61.22,-8.06
-0.79,-0.17,0.51,-11.9,60.18,-8.18
-0.79,-0.16,0.53,-15.63,59.2,-8.91
-0.79,-0.15,0.57,-17.58,59.39,-9.34
-0.78,-0.14,0.59,-16.3,60.91,-9.58
-0.79,-0.12,0.61,-13.98,61.4,-9.77
-0.79,-0.12,0.61,-11.23,60.36,-8.48
-0.77,-0.13,0.59,-8.91,57.98,-5.8
-0.77,-0.14,0.58,-8.3,56.03,-4.03
-0.75,-0.15,0.58,-8.12,55.3,-3.23
-0.72,-0.17,0.58,-8.24,55.3,-3.6
-0.7,-0.17,0.6,-9.34,54.75,-5.19
-0.7,-0.16,0.61,-11.11,53.22,-7.51
-0.7,-0.15,0.62,-12.08,51.82,-9.58
-0.7,-0.15,0.64,-12.76,51.7,-11.78
-0.71,-0.13,0.67,-12.63,51.94,-13.24
-0.72,-0.12,0.67,-11.05,51.15,-13.67
-0.73,-0.11,0.67,-9.64,49.68,-13.12
-0.73,-0.1,0.66,-9.03,48.89,-11.96
-0.72,-0.09,0.66,-8.85,48.22,-10.19
-0.7,-0.09,0.66,-9.34,47.97,-8.54
-0.66,-0.08,0.7,-10.5,48.1,-7.81
-0.68,-0.07,0.71,-9.4,46.81,-8.97
-0.7,-0.07,0.71,-7.14,45.1,-9.22
-0.71,-0.07,0.72,-4.64,45.53,-8.54
-0.72,-0.06,0.73,-1.16,47.12,-7.39
-0.71,-0.07,0.71,3.11,49.26,-5.25
-0.67,-0.1,0.7,6.41,52.06,-3.3
-0.64,-0.12,0.69,6.77,53.47,-3.3
-0.62,-0.13,0.68,4.46,52.55,-4.33
-0.61,-0.13,0.68,1.71,50.6,-6.16
-0.61,-0.13,0.67,-0.98,48.52,-8.54
-0.63,-0.12,0.68,-4.52,47.36,-11.72
-0.64,-0.09,0.71,-8.18,47.24,-13.61
-0.65,-0.07,0.74,-9.77,48.28,-14.53
-0.65,-0.06,0.77,-8.54,49.26,-13.67
-0.64,-0.06,0.79,-4.27,49.56,-11.6
-0.63,-0.06,0.78,0.73,49.38,-9.34
-0.61,-0.08,0.76,4.82,49.19,-7.26
-0.6,-0.09,0.75,6.65,48.89,-6.1
-0.6,-0.09,0.74,6.23,49.19,-6.23
-0.6,-0.1,0.75,4.64,49.93,-6.59
-0.58,-0.1,0.77,3.48,50.66,-6.47
-0.56,-0.1,0.79,2.69,50.96,-7.39
-0.57,-0.1,0.8,3.54,49.5,-9.46
-0.58,-0.1,0.79,5.07,48.22,-10.31
-0.57,-0.11,0.79,6.71,48.65,-10.86
-0.57,-0.1,0.79,7.32,49.56,-11.05
-0.56,-0.1,0.79,6.9,49.74,-10.93
-0.57,-0.09,0.8,6.47,49.01,-10.25
-0.56,-0.08,0.79,5.8,48.34,-9.28
-0.56,-0.08,0.8,5.31,48.71,-8.48
-0.55,-0.06,0.8,5.0,49.44,-7.63
-0.54,-0.07,0.81,4.94,51.15,-6.96
-0.53,-0.08,0.8,5.8,53.1,-6.59
-0.52,-0.08,0.81,5.13,55.18,-6.35
-0.52,-0.09,0.82,3.85,56.88,-6.23
-0.49,-0.09,0.85,2.26,56.95,-5.07
-0.43,-0.1,0.89,0.55,56.27,-4.33
-0.42,-0.08,0.9,1.1,51.21,-6.41
-0.46,-0.08,0.9,3.42,44.8,-7.81
-0.47,-0.08,0.89,5.98,40.77,-7.02
-0.47,-0.09,0.88,7.51,38.64,-5.92
-0.48,-0.08,0.88,8.12,37.35,-5.25
-0.49,-0.08,0.88,9.52,37.29,-4.27
-0.48,-0.08,0.86,12.45,39.25,-4.15
-0.47,-0.1,0.84,14.89,42.05,-4.52
-0.45,-0.11,0.83,13.55,43.15,-4.58
-0.42,-0.11,0.82,9.77,42.48,-5.07
-0.42,-0.1,0.84,5.68,41.93,-6.23
-0.42,-0.09,0.87,1.95,42.3,-7.45
-0.41,-0.08,0.91,-0.92,41.81,-7.75
-0.42,-0.07,0.93,-2.26,40.1,-7.45
-0.41,-0.06,0.96,-1.95,37.84,-6.59
-0.41,-0.05,0.96,0.92,36.01,-5.8
-0.4,-0.06,0.95,4.52,33.57,-4.21
-0.4,-0.06,0.94,6.71,31.37,-3.48
-0.41,-0.05,0.93,8.3,30.09,-2.56
-0.4,-0.06,0.91,9.7,30.09,-1.89
-0.39,-0.07,0.9,10.19,30.33,-1.53
-0.38,-0.08,0.9,9.09,30.33,-1.59
-0.37,-0.08,0.9,6.71,29.79,-1.46
-0.38,-0.08,0.9,3.72,28.5,-1.77
-0.41,-0.08,0.92,1.1,27.89,-1.89
-0.34,-0.1,0.99,0.24,25.21,-3.91
-0.4,-0.08,0.91,3.54,18.68,-6.53
-0.39,-0.06,0.99,0.18,24.78,-2.87
-0.36,-0.06,0.96,4.15,20.02,-1.95
-0.38,-0.07,0.94,6.41,16.91,-1.46
-0.38,-0.05,0.94,5.07,18.37,-0.37
-0.38,-0.05,0.92,5.98,18.68,0.55
-0.38,-0.06,0.92,6.23,19.84,2.01
-0.37,-0.07,0.91,6.53,21.91,2.62
-0.36,-0.08,0.91,7.51,25.09,2.5
-0.35,-0.1,0.89,7.32,27.28,2.26
-0.34,-0.11,0.9,5.62,28.08,1.95
-0.32,-0.11,0.92,3.42,28.14,1.65
-0.31,-0.11,0.94,1.46,24.66,0.73
-0.33,-0.08,0.92,0.73,21.06,0.06
-0.34,-0.09,0.93,1.28,19.65,-0.06
-0.33,-0.08,0.93,1.71,22.03,-0.31
-0.33,-0.09,0.92,2.14,21.97,0.31
-0.33,-0.09,0.91,2.14,21.36,0.55
-0.32,-0.09,0.91,1.71,21.55,0.67
-0.31,-0.1,0.92,1.22,22.83,0.43
-0.3,-0.1,0.93,1.4,24.78,0.24
-0.3,-0.1,0.93,1.4,25.7,-0.49
-0.28,-0.1,0.94,2.26,25.88,-0.92
-0.25,-0.12,0.95,2.62,25.15,-1.22
-0.27,-0.11,0.96,1.77,22.77,-2.32
-0.29,-0.11,0.94,1.83,19.35,-2.2
-0.29,-0.1,0.94,2.38,18.98,-1.53
-0.28,-0.1,0.93,3.3,19.71,-1.4
-0.29,-0.11,0.92,3.42,20.81,-1.53
-0.27,-0.11,0.92,3.23,22.95,-1.65
-0.25,-0.12,0.93,2.01,24.72,-2.2
-0.25,-0.11,0.93,0.79,24.9,-3.48
-0.26,-0.1,0.93,0.55,24.05,-3.97
-0.26,-0.1,0.94,1.16,24.35,-3.97
-0.24,-0.1,0.96,1.1,24.41,-4.21
-0.24,-0.08,0.97,0.24,23.25,-3.54
-0.24,-0.08,0.96,1.46,20.94,-2.69
-0.25,-0.08,0.94,3.17,18.92,-2.2
-0.25,-0.08,0.94,3.17,19.29,-1.59
-0.25,-0.08,0.94,2.01,19.23,-0.49
-0.24,-0.09,0.94,0.73,18.55,0.61
-0.23,-0.1,0.95,0.06,18.55,0.73
-0.21,-0.11,0.96,-0.37,18.98,0.49
-0.18,-0.1,0.98,-0.73,18.74,-0.06
-0.2,-0.1,0.97,-0.18,16.78,-0.98
-0.22,-0.1,0.96,1.28,14.04,-1.34
-0.21,-0.1,0.96,2.26,13.61,-1.65
-0.21,-0.09,0.96,2.62,13.49,-2.14
-0.22,-0.09,0.96,2.44,12.21,-1.83
-0.22,-0.09,0.95,1.46,10.31,-1.46
-0.22,-0.08,0.95,0.18,9.52,-1.04
-0.23,-0.08,0.95,-1.59,9.64,-0.67
-0.21,-0.08,0.96,-2.69,10.01,-0.55
-0.2,-0.09,0.97,-3.05,9.89,-0.12
-0.18,-0.09,0.98,-3.78,9.4,0.37
-0.19,-0.09,0.98,-2.99,8.61,-0.49
-0.2,-0.09,0.97,-1.34,7.63,-0.85
-0.2,-0.1,0.97,0.92,7.39,-1.22
-0.19,-0.09,0.96,2.44,7.81,-1.83
-0.2,-0.09,0.95,2.38,7.14,-2.2
-0.21,-0.09,0.94,1.53,5.92,-1.71
-0.21,-0.09,0.94,0.43,5.37,-1.59
-0.21,-0.08,0.95,-0.67,5.8,-1.4
-0.2,-0.08,0.96,-1.34,6.23,-1.28
-0.19,-0.09,0.96,-2.08,5.49,-1.22
-0.19,-0.09,0.96,-3.3,4.09,-0.98
-0.19,-0.08,0.97,-4.39,3.11,-0.92
-0.19,-0.08,0.96,-4.03,3.05,-1.16
-0.19,-0.08,0.96,-3.66,2.81,-0.92
-0.19,-0.07,0.97,-3.48,2.56,-0.61
-0.19,-0.08,0.96,-1.89,2.44,-0.61
-0.19,-0.08,0.95,-0.31,2.87,-0.92
-0.19,-0.08,0.95,-0.12,3.05,-0.85
-0.2,-0.08,0.95,0.06,3.36,-0.73
-0.19,-0.08,0.95,1.1,4.21,-0.61
-0.18,-0.09,0.96,1.89,5.07,-0.73
-0.18,-0.09,0.96,2.32,4.52,-1.1
-0.19,-0.09,0.95,2.44,3.85,-1.1
-0.18,-0.09,0.96,1.59,4.46,-0.92
-0.19,-0.08,0.96,0.43,4.46,-1.4
-0.2,-0.07,0.96,0.06,4.03,-1.28
-0.19,-0.07,0.96,-0.24,4.21,-0.98
-0.18,-0.07,0.96,-0.18,3.66,-0.61
-0.17,-0.07,0.97,0.18,2.93,-0.43
-0.18,-0.07,0.97,0.37,2.01,-0.67
-0.18,-0.07,0.97,0.43,1.89,-0.67
-0.18,-0.06,0.97,0.43,2.14,-0.49
-0.19,-0.07,0.97,0.92,1.71,-0.43
-0.18,-0.07,0.96,1.34,1.28,0.06
-0.18,-0.08,0.95,1.1,0.92,0.55
-0.18,-0.07,0.95,0.31,-0.06,0.43
-0.19,-0.07,0.95,-0.24,-0.61,0.12
-0.19,-0.07,0.95,0.12,-0.49,0.61
-0.19,-0.07,0.95,0.31,-0.24,0.73
-0.19,-0.07,0.95,0.49,0.0,0.79
-0.19,-0.07,0.95,0.73,0.31,0.98
-0.19,-0.08,0.96,1.22,0.61,1.16
-0.19,-0.08,0.96,1.53,0.55,1.28
-0.19,-0.08,0.96,1.53,0.31,1.59
-0.19,-0.08,0.97,0.67,-0.06,1.53
-0.2,-0.07,0.98,-0.12,-0.37,1.22
-0.2,-0.07,0.99,-0.43,-0.67,1.22
-0.19,-0.07,1.0,-0.61,-1.34,1.71
-0.19,-0.07,1.0,-0.55,-2.44,2.08
-0.19,-0.07,1.0,-0.06,-3.54,2.32
-0.19,-0.06,1.0,-0.24,-4.52,2.75
-0.2,-0.06,1.01,-0.79,-5.68,3.17
-0.2,-0.06,1.02,-0.85,-6.77,3.85
-0.2,-0.05,1.03,-0.98,-8.3,4.52
-0.2,-0.05,1.05,-0.92,-10.01,5.68
-0.19,-0.05,1.05,-0.31,-12.33,6.96
-0.19,-0.06,1.06,0.31,-14.4,7.63
-0.2,-0.06,1.08,-0.18,-15.87,7.45
-0.2,-0.04,1.1,-1.16,-17.21,7.69
-0.2,-0.04,1.11,-1.59,-19.78,8.48
-0.21,-0.03,1.12,-0.92,-23.25,8.85
-0.21,-0.03,1.12,0.18,-26.79,10.13
-0.22,-0.04,1.11,0.73,-30.88,11.29
-0.23,-0.04,1.11,0.85,-35.03,12.57
-0.24,-0.05,1.1,0.67,-38.88,14.16
-0.25,-0.06,1.1,0.43,-42.11,15.14
-0.26,-0.07,1.09,0.55,-43.7,14.71
-0.27,-0.07,1.09,1.22,-44.07,13.79
-0.28,-0.07,1.08,1.89,-43.52,12.63
-0.28,-0.06,1.08,2.38,-43.4,11.72
-0.27,-0.07,1.07,2.75,-45.1,10.99
-0.29,-0.07,1.05,3.36,-49.68,10.38
-0.31,-0.08,1.03,2.56,-53.83,9.34
-0.31,-0.08,1.02,0.61,-56.21,8.67
-0.32,-0.07,1.03,-1.46,-57.74,7.93
-0.34,-0.07,1.03,-2.93,-59.94,7.57
-0.35,-0.06,1.04,-2.75,-62.01,7.57
-0.35,-0.06,1.04,-1.89,-62.99,7.45
-0.38,-0.06,1.04,-0.98,-64.21,7.57
-0.39,-0.05,1.04,1.28,-65.49,8.85
-0.41,-0.04,1.03,4.27,-65.55,10.56
-0.41,-0.04,1.04,7.39,-64.58,12.82
-0.41,-0.04,1.04,11.72,-63.23,14.89
-0.4,-0.05,1.03,16.3,-61.65,16.3
-0.39,-0.06,1.02,20.69,-60.79,16.85
-0.37,-0.09,0.98,23.93,-61.71,17.21
-0.37,-0.12,0.92,23.5,-65.0,16.85
-0.37,-0.13,0.89,18.55,-69.27,15.32
-0.37,-0.13,0.89,11.47,-71.96,12.82
-0.39,-0.11,0.9,4.82,-74.4,9.89
-0.41,-0.09,0.92,0.37,-78.98,8.73
-0.44,-0.09,0.92,-0.37,-83.07,9.28
-0.48,-0.09,0.91,2.08,-84.41,9.34
-0.5,-0.07,0.91,5.55,-83.44,10.44
-0.5,-0.07,0.91,10.25,-81.73,12.57
-0.5,-0.06,0.91,15.56,-80.38,14.83
-0.49,-0.06,0.91,21.18,-79.47,16.54
-0.5,-0.08,0.88,27.71,-79.35,17.82
-0.48,-0.11,0.84,31.74,-80.2,19.65
-0.47,-0.13,0.8,31.49,-81.54,20.08
-0.47,-0.14,0.77,27.53,-83.92,18.62
-0.49,-0.16,0.74,21.97,-86.0,15.75
-0.51,-0.16,0.73,15.2,-87.16,13.43
-0.52,-0.16,0.76,8.24,-87.34,12.57
-0.53,-0.15,0.77,4.15,-88.68,11.41
-0.55,-0.16,0.77,2.93,-89.66,10.56
-0.56,-0.14,0.77,3.48,-89.97,10.01
-0.56,-0.13,0.79,5.98,-90.64,9.89
-0.6,-0.15,0.74,11.6,-91.06,10.13
-0.62,-0.14,0.72,16.54,-90.58,12.02
-0.62,-0.14,0.73,19.78,-88.44,13.55
-0.61,-0.16,0.71,24.54,-86.98,15.26
-0.6,-0.17,0.69,27.47,-86.73,16.54
-0.6,-0.18,0.68,27.71,-86.73,17.09
-0.59,-0.2,0.65,27.28,-87.52,16.54
-0.59,-0.2,0.61,24.41,-89.84,14.71
-0.61,-0.22,0.58,18.19,-92.16,12.21
-0.66,-0.2,0.57,11.29,-94.36,9.77
-0.69,-0.19,0.56,6.96,-95.09,8.36
-0.7,-0.19,0.54,5.8,-94.97,8.85
-0.71,-0.18,0.54,5.98,-93.57,9.58
-0.73,-0.19,0.53,8.3,-91.61,10.5
-0.72,-0.2,0.51,12.21,-89.17,11.66
-0.71,-0.2,0.5,15.81,-87.46,12.45
-0.7,-0.2,0.49,19.17,-87.16,13.12
-0.73,-0.22,0.46,21.85,-86.06,12.63
-0.74,-0.21,0.44,22.28,-83.62,12.15
-0.74,-0.21,0.44,21.18,-81.3,12.63
-0.73,-0.24,0.39,19.53,-81.54,13.12
-0.74,-0.25,0.35,15.08,-82.76,12.27
-0.76,-0.25,0.33,8.85,-83.07,10.31
-0.78,-0.25,0.32,3.6,-81.91,8.61
-0.78,-0.25,0.33,-0.31,-79.59,7.26
-0.77,-0.25,0.34,-2.38,-76.97,6.16
-0.79,-0.25,0.34,-2.81,-76.35,4.88
